Проект;Исполнитель;Среднее количество слов в задаче;Время затраченное на проект
 SAP22004_KONS_03 Заработная плата и кадры;7;7.291245791245791;555.4285714285714
 Релизы ТУРБО;15;8.845425867507887;113.73333333333332
NIS Сербия SAP23006_NPS_01  ;9;7.65615141955836;221.0
SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;10;11.9725;219.65
SAP22030_NOKT_01 Нокиан  ;17;9.96920115495669;421.11764705882354
Белгородская индейка;13;10.511695906432749;195.34615384615384
РусАгро - ЗНИ;18;2.230254350736278;618.4566666666666
РусАгро - Тех.поддержка;15;7.160804020100502;155.34666666666666
СудДеп;17;9.450124688279304;352.94705882352946
ТУРБО Закупки;10;7.318734793187348;237.2
Федеральное Казначейство;11;8.056768558951966;253.1818181818182
