Номер Задачи,Деятельность,Направление,Количество_Пользователей
8688,Разработка,PP - Производственное планирование,4
7375,Разработка,PM - Тех. обслуживание и ремонт оборудования,3
7467,Разработка,FI - Финансы,3
8741,Разработка,FI - Финансы,2
7776,Разработка,CO - Контроллинг,2
7562,Разработка,SD - Сбыт,2
9172,Разработка,PM - Тех. обслуживание и ремонт оборудования,2
7206,Разработка,PM - Тех. обслуживание и ремонт оборудования,2
8662,Разработка,PP - Производственное планирование,2
7499,Разработка,PP - Производственное планирование,2
7584,Разработка,SD - Сбыт,2
7477,Разработка,PP - Производственное планирование,2
8920,Разработка,MM - Управление материалами,2
7988,Разработка,RE - Недвижимость,2
7601,Разработка,FI - Финансы,2
10570,Разработка,PP - Производственное планирование,2
7526,Разработка,PP - Производственное планирование,2
10701,Разработка,PP - Производственное планирование,2
7680,Разработка,PM - Тех. обслуживание и ремонт оборудования,2
8074,Разработка,PP - Производственное планирование,2
8735,Разработка,PP - Производственное планирование,2
7495,Документирование,CO - Контроллинг,1
7513,Разработка,PP - Производственное планирование,1
7504,Разработка,PP - Производственное планирование,1
7502,Разработка,PP - Производственное планирование,1
7501,Разработка,MM - Управление материалами,1
7499,Документирование,PP - Производственное планирование,1
7496,Разработка,PP - Производственное планирование,1
8304,Документирование,PP - Производственное планирование,1
7486,Разработка,PP - Производственное планирование,1
7490,Разработка,PP - Производственное планирование,1
7487,Документирование,PP - Производственное планирование,1
7517,Разработка,HCM - Управление персоналом,1
7484,Разработка,PP - Производственное планирование,1
7483,Разработка,PP - Производственное планирование,1
7482,Разработка,MM - Управление материалами,1
7482,Настройка,MM - Управление материалами,1
7476,Разработка,PP - Производственное планирование,1
7475,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7475,Документирование,ISU - Энергетика и коммунальное хозяйство,1
7467,Документирование,FI - Финансы,1
7465,Документирование,PP - Производственное планирование,1
7460,Разработка,MM - Управление материалами,1
7459,Разработка,MM - Управление материалами,1
7514,Разработка,"PM - Тех. обслуживание и ремонт оборудования, PP - Производственное планирование",1
7527,Разработка,PP - Производственное планирование,1
7522,Разработка,PP - Производственное планирование,1
7524,Разработка,PP - Производственное планирование,1
7620,Документирование,PP - Производственное планирование,1
7613,Разработка,MM - Управление материалами,1
7612,Разработка,MM - Управление материалами,1
7609,Разработка,MM - Управление материалами,1
7600,Разработка,PP - Производственное планирование,1
7599,Разработка,PP - Производственное планирование,1
7597,Разработка,PP - Производственное планирование,1
7593,Разработка,PP - Производственное планирование,1
7593,Документирование,PP - Производственное планирование,1
7592,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7591,Разработка,PP - Производственное планирование,1
7589,Разработка,FI - Финансы,1
7584,Документирование,SD - Сбыт,1
7568,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7567,Разработка,MM - Управление материалами,1
7564,Разработка,PP - Производственное планирование,1
7562,Настройка,SD - Сбыт,1
7561,Разработка,MM - Управление материалами,1
7560,Разработка,MM - Управление материалами,1
7559,Разработка,MM - Управление материалами,1
7557,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7547,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7545,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7544,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7531,Разработка,PP - Производственное планирование,1
7445,Разработка,MM - Управление материалами,1
7525,Разработка,PP - Производственное планирование,1
7449,Документирование,PP - Производственное планирование,1
7418,Разработка,FI - Финансы,1
7444,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7311,Разработка,FI - Финансы,1
7251,Разработка,FI-AA - Основные средства,1
7247,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7233,Разработка,HCM - Управление персоналом,1
7229,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7228,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7220,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7215,Разработка,FI - Финансы,1
7210,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7209,Разработка,MM - Управление материалами,1
7199,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7196,Разработка,MM - Управление материалами,1
7192,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7162,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7158,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7107,Разработка,SD - Сбыт,1
7097,Разработка,MM - Управление материалами,1
7066,Разработка,FI - Финансы,1
7014,Разработка,CUA - Централизованное управление пользователями,1
6941,Разработка,MM - Управление материалами,1
6913,Разработка,FI - Финансы,1
6906,Разработка,FI - Финансы,1
6905,Разработка,FI - Финансы,1
6904,Разработка,FI - Финансы,1
11039,Разработка,MM - Управление материалами,1
11039,Документирование,MM - Управление материалами,1
10998,Разработка,MM - Управление материалами,1
10935,Разработка,MM - Управление материалами,1
10904,Разработка,MM - Управление материалами,1
10848,Разработка,PP - Производственное планирование,1
7253,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7322,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7435,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7348,Разработка,WF/DMS/RCM - Документооборот,1
7431,Разработка,FI - Финансы,1
7423,Разработка,MM - Управление материалами,1
7656,Разработка,PP - Производственное планирование,1
7418,Документирование,FI - Финансы,1
7413,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7407,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7406,Разработка,PP - Производственное планирование,1
7403,Разработка,MM - Управление материалами,1
7402,Разработка,PP - Производственное планирование,1
7398,Разработка,FI - Финансы,1
7397,Документирование,PP - Производственное планирование,1
7392,Разработка,MM - Управление материалами,1
7391,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7378,Документирование,PP - Производственное планирование,1
7377,Документирование,PP - Производственное планирование,1
7374,Разработка,MM - Управление материалами,1
7373,Разработка,MM - Управление материалами,1
7373,Настройка,MM - Управление материалами,1
7371,Разработка,MM - Управление материалами,1
7366,Документирование,PP - Производственное планирование,1
7365,Разработка,PP - Производственное планирование,1
7365,Документирование,PP - Производственное планирование,1
7364,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7360,Разработка,HCM - Управление персоналом,1
7359,Разработка,MM - Управление материалами,1
7358,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7357,Разработка,MM - Управление материалами,1
7355,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7349,Разработка,ISU - Энергетика и коммунальное хозяйство,1
