#;Проект;Тема;Подзадачи;Связанные задачи
11170;NIS Сербия SAP23006_NPS_01  ;CR 28(580354);"";""
11169;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS - 255 Связка оборудование - Актив;"";""
11168;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-237 справочник Тип заказа;"";""
11167;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-369;"";""
11166;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-157 и OPTIS-247 Новые изменения ;"";""
11165;SAP22030_NOKT_02 Нокиан  вторая очередь;Мелкие модификации по задачам;"";""
11164;ФК Зенит;"Нет возможности выбора типа записи при создании операций в модуле ""Контроллинг""";"";""
11163;NIS Сербия SAP23006_NPS_01  ;CR12 640103 (CAPEX) - оценка доработки транзакции ZSD_AVANSI;"";""
11161;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-203;"";""
11160;NIS Сербия SAP23006_NPS_01  ;CR10 (CAPEX) - Заполнение параметра BT-8 для фактур ZIV;"";""
11159;ФК Зенит;Настройка примера запроса на получение данных в систему Бюджетирование из ERP через SQL сервер на примере справочника ЦФО.;"";""
11158;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-58;"";""
11157;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-209;"";""
11156;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-67;"";""
11155;Белгородская индейка;Вынести в меню кассовые операции;"";""
11154;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-453;"";""
11153;Белгородская индейка;"ТУРБО БИ - автозаполнение склада в документе ""Отгрузки"" ";"";""
11152;NIS Сербия SAP23006_NPS_01  ;CR10 596191 (CAPEX) - создание новой печатной формы и настройка XML файла;"";""
11151;NIS Сербия SAP23006_NPS_01  ;RQ776014 Onemogaćavanje unosa tekućeg računa  ugašenih banaka na fakturama dobavljača.;"";""
11150;NIS Сербия SAP23006_NPS_01  ;Оценка 776009 Kreiranje izveštaja o nepovezanim stavkama za potrebe due date procesa.;"";""
11149; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Некорректная работа поля ""Классификация"" в отчете ""Отчет по договорам (сводный).";"";""
11148; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Пакетник на заполнение полей в инженерных системах;"";""
11147; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Дергается горизонтальная полоса прокрутки;"";""
11146; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;В карточке «Договор» не работает предфильтрация в поле «Организация»;"";""
11145;NIS Сербия SAP23006_NPS_01  ; ZAHTEV ( инцидент) 799133;"";""
11144;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Ошибка фильтрации при открытии затратных картотек под ограниченной ролью пользователя;"";""
11143;ФК Зенит;Сброс статуса в Заявке на оплату;"";""
11142;Белгородская индейка;ТУРБО Фудтех - Цены в сделке продаж;"";""
11141;Белгородская индейка;ТУРБО Фудтех - Отображение производственных партий ;"";""
11140; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"В ролевом центре ""Отчеты"" сделать корректные ссылки на отчеты";"";""
11139; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Добавить фильтрацию в картотеках ;"";""
11138;Белгородская индейка;ТУРБО Фудтех - Некорректный пересчет остатков;"";""
11137;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-445;"";""
11136;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-257 Ответственный в РЗ;"";""
11135;ФК Зенит;Анализ логики расчета доступного лимита для выполнения бюджетного контроля;"";""
11134;NIS Сербия SAP23006_NPS_01  ;CR795531  - оценка SEF ручные PDF (OPEX);"";""
11133;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Заполнение параметров платежа по документам ручных проводок (номер соглашения);"";""
11132;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-110;"";""
11131;Белгородская индейка;ТУРБО БИ - настройка мобильной версии для ТСД;"";""
11130; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Автоматически не заполняется поле ""Техническая карточка обслуживания ТС"" при создании ОИ по разноске ОО";"";""
11129;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Изменить алгоритм вывода штатной численности в отчете 7.10;"";""
11128;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Ошибка вывода единиц измерения для линейных сооружений в правоустанавливающих документах;"";""
11127;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-62 Уведомления ответственных по ТМЦ;"";""
11126;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-447;"";""
11125; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Появляется ошибка при создании карточки объекта обслуживания;"";""
11124;ФК Зенит;Вид главного меню модуля Закупки;"";""
11123; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Ошибка при попытке открытия документа ""Факт БДР""";"";""
11122;Белгородская индейка;Печать фискального чека;"";""
11121;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-446;"";""
11120;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Доработать вывод данных в отчете 7.8Т в разрезе УСД, районных и гарнизонных;"";""
11119;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-323;"";""
11118;NIS Сербия SAP23006_NPS_01  ;INC 801481 - при запуске транзакции Z_pl_update появляется дамп;"";""
11116; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Добавить чек-бокс в карточке ""Роли доступа""";"";""
11115; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"На нативе не работает ""Универсальный фильтр""";"";""
11114; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Некорректная работа панели фильтра в справочнике ""Полный реестр имущества"".";"";""
11113;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-427;"";""
11112;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS - 404 интеграция с GT;"";""
11111;Белгородская индейка;Печать документа Счет на оплату;"";""
11110; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Требуется добавить выгрузку к отчетам;"";""
11109;Белгородская индейка;ТУРБО Фудтех - Некорректный пересчет остатков по партии;"";""
11108; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Добавить фильтр на выбор ""Договора"" из карточки ""Заявки на обслуживание""";"";""
11107;ФК Зенит;"Доработка форм ""Банковская выписка"", ""Движения по расчетным счетам""";"";""
11106;ФК Зенит;"Доработка форм ""Выгрузка в клиент-банк"", ""Загрузка из клиент-банк""";"";""
11105;ФК Зенит;"Доработка форм ""Реестр платежей"", ""Платежные поручения""";"";""
11104;ФК Зенит;Тестирование плана закупок подразделения;"";связана с #11046
11103;ФК Зенит;"Доработка формы ""Платежная позиция""";"";""
11102;ФК Зенит;"Доработки формы ""Заявки на оплату""";"";""
11101;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-425 - Заказы на работу;"";""
11100;ФК Зенит;"Переименовать справочники в модуле ""Казначейство"", ""Бюджетный контроль""";"";""
11099; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Исправить работу проверки на сервиса ""Создать приемку"" в карточке плановой ""Заявки на обслуживание""";"";""
11098;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-49 и OPTIS-68;"";""
11097;Белгородская индейка;ТУРБО БИ - интеграция с меркурием;"";""
11096;NIS Сербия SAP23006_NPS_01  ;CR17 SD1112909 (Часть 1 из 2) Добавление проверки ZSD_SD_067 в БЕ 1530 и 1540;"";""
11094;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В документ Акта выполненных работ добавить поле районного/гарнизонного суда;"";""
11093;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В документы оплаты добавить поле районного/гарнизонного суда;"";""
11092;Белгородская индейка;"ТУРБО БИ - доработка функционала ""Приема из производства""";"";""
11090;ФК Зенит;"Исчез меню ""Сервис"" с функциями на форме ""Лимиты бюджета""";"";""
11089;РусАгро - ЗНИ;SH-334 АРМ Планирования (не пишется номер заказа через запрос CreatePulSet);"";""
11088;ФК Зенит;"Доработки формы ""План закупок""";"";связана с #11046
11087;NIS Сербия SAP23006_NPS_01  ;514759 доработка ZAA_kontrol;"";""
11085; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Скрыть системные поля в карточке ""Физического лица""  (на основании запроса IM10511070)";"";""
11084; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Добавить фильтры в картотеки модуля ""Автотранспорт""";"";""
11083;Белгородская индейка;ТУРБО БИ - настройка функционала;"";""
11082;Белгородская индейка;ТУРБО Фудтех - Система не пускает в договоры;"";""
11081; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Разработать пакетник на заполнение поля ЦФО в карточках;"";""
11080;NIS Сербия SAP23006_NPS_01  ;CR 14 (469224,487598,492085,452801,572209);"";""
11079;ФК Зенит;Ошибки в карточке плана закупок подразделения;"";связана с #11046
11078;ФК Зенит;"Ошибка ""Рассчетный счет < РасчСчет > не распознан"" при загрузки банковской выписки";"";""
11077; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Не отображаются поля ""Балансодержатель"", ""Пользователь"" и ""Описание"".";"";""
11076;NIS Сербия SAP23006_NPS_01  ;SD 572717 Удаление данных из печатной формы по БЕ 1530 и 1540;"";""
11075;Белгородская индейка;ТУРБО БИ - ошибка при формировании ветеринарного запроса;"";""
11074; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Добавить фильтрацию для модуля ""Обслуживание и ремонт оборудования"" в соответствии с данными в карточке пользователя";#11081;""
11073;NIS Сербия SAP23006_NPS_01  ;CR 15 SD626969 Создание и расчёт общих соглашений о скидках в транзакциях VBO1, ZVBO1_W;"";""
11072;NIS Сербия SAP23006_NPS_01  ;Инцидент 792022;"";""
11071; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"На вэб-клиенте при переходе на вкладку ""Документы"" в карточке ""Договор"" появляется уведомление об ошибке";"";""
11070; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Ошибка при открытии справочников ""Журнал ДТП"" и ""Журнал учета ГСМ"" ";"";""
11069;Белгородская индейка;Создание нумератора для форм первички;"";""
11068;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Налоговый мониторинг - разработка Режима по закрытию периода формирования налоговой отчетности;"";""
11067;Белгородская индейка;Настройка выгрузки в XML файл для загрузки в 1С;"";""
11066; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Изменить способ ввода значения для характеристики ЕО с признаком ""Да/Нет""";"";""
11065; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"В карточке ""Объекта обслуживания"" не отображается наименование кнопок";"";""
11064; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Не работает панель фильтра в картотеках ;"";""
11063;NIS Сербия SAP23006_NPS_01  ; 689202 Опекс октябрь. Изменение  тр. FB02;"";""
