Issue ID,Subject,Project,Subtasks,Subtasks ID,Stage
11170,CR 28(580354),NIS Сербия SAP23006_NPS_01  ,,,
11169,OPTIS - 255 Связка оборудование - Актив,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11168,OPTIS-237 справочник Тип заказа,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11167,OPTIS-369,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11166,OPTIS-157 и OPTIS-247 Новые изменения ,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11165,Мелкие модификации по задачам,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11164,"Нет возможности выбора типа записи при создании операций в модуле ""Контроллинг""",ФК Зенит,,,
11163,CR12 640103 (CAPEX) - оценка доработки транзакции ZSD_AVANSI,NIS Сербия SAP23006_NPS_01  ,,,
11162,OPTIS-26,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11161,OPTIS-203,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11160,CR10 (CAPEX) - Заполнение параметра BT-8 для фактур ZIV,NIS Сербия SAP23006_NPS_01  ,,,
11159,Настройка примера запроса на получение данных в систему Бюджетирование из ERP через SQL сервер на примере справочника ЦФО.,ФК Зенит,,,
11158,OPTIS-58,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11157,OPTIS-209,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11156,OPTIS-67,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11155,Вынести в меню кассовые операции,Белгородская индейка,,,
11154,OPTIS-453,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11153,"ТУРБО БИ - автозаполнение склада в документе ""Отгрузки"" ",Белгородская индейка,,,
11152,CR10 596191 (CAPEX) - создание новой печатной формы и настройка XML файла,NIS Сербия SAP23006_NPS_01  ,,,
11151,RQ776014 Onemogaćavanje unosa tekućeg računa  ugašenih banaka na fakturama dobavljača.,NIS Сербия SAP23006_NPS_01  ,,,
11150,Оценка 776009 Kreiranje izveštaja o nepovezanim stavkama za potrebe due date procesa.,NIS Сербия SAP23006_NPS_01  ,,,
11149,"Некорректная работа поля ""Классификация"" в отчете ""Отчет по договорам (сводный).", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11148,Пакетник на заполнение полей в инженерных системах, =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11147,Дергается горизонтальная полоса прокрутки, =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11146,В карточке «Договор» не работает предфильтрация в поле «Организация», =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11145, ZAHTEV ( инцидент) 799133,NIS Сербия SAP23006_NPS_01  ,,,
11144,Ошибка фильтрации при открытии затратных картотек под ограниченной ролью пользователя,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11143,Сброс статуса в Заявке на оплату,ФК Зенит,,,
11142,ТУРБО Фудтех - Цены в сделке продаж,Белгородская индейка,,,
11141,ТУРБО Фудтех - Отображение производственных партий ,Белгородская индейка,,,
11140,"В ролевом центре ""Отчеты"" сделать корректные ссылки на отчеты", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11139,Добавить фильтрацию в картотеках , =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11138,ТУРБО Фудтех - Некорректный пересчет остатков,Белгородская индейка,,,
11137,OPTIS-445,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11136,OPTIS-257 Ответственный в РЗ,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11135,Анализ логики расчета доступного лимита для выполнения бюджетного контроля,ФК Зенит,,,
11134,CR795531  - оценка SEF ручные PDF (OPEX),NIS Сербия SAP23006_NPS_01  ,,,
11133,Заполнение параметров платежа по документам ручных проводок (номер соглашения),SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11132,OPTIS-110,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11131,ТУРБО БИ - настройка мобильной версии для ТСД,Белгородская индейка,,,
11130,"Автоматически не заполняется поле ""Техническая карточка обслуживания ТС"" при создании ОИ по разноске ОО", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11129,Изменить алгоритм вывода штатной численности в отчете 7.10,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11128,Ошибка вывода единиц измерения для линейных сооружений в правоустанавливающих документах,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11127,OPTIS-62 Уведомления ответственных по ТМЦ,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11126,OPTIS-447,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11125,Появляется ошибка при создании карточки объекта обслуживания, =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11124,Вид главного меню модуля Закупки,ФК Зенит,,,
11123,"Ошибка при попытке открытия документа ""Факт БДР""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11122,Печать фискального чека,Белгородская индейка,,,
11121,OPTIS-446,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11120,"Доработать вывод данных в отчете 7.8Т в разрезе УСД, районных и гарнизонных",=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11119,OPTIS-323,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11118,INC 801481 - при запуске транзакции Z_pl_update появляется дамп,NIS Сербия SAP23006_NPS_01  ,,,
11117,Ошибка при открытии настроенного турбовского отчета,ФК Зенит,,,
11116,"Добавить чек-бокс в карточке ""Роли доступа""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11115,"На нативе не работает ""Универсальный фильтр""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11114,"Некорректная работа панели фильтра в справочнике ""Полный реестр имущества"".", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11113,OPTIS-427,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11112,OPTIS - 404 интеграция с GT,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11111,Печать документа Счет на оплату,Белгородская индейка,,,
11110,Требуется добавить выгрузку к отчетам, =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11109,ТУРБО Фудтех - Некорректный пересчет остатков по партии,Белгородская индейка,,,
11108,"Добавить фильтр на выбор ""Договора"" из карточки ""Заявки на обслуживание""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11107,"Доработка форм ""Банковская выписка"", ""Движения по расчетным счетам""",ФК Зенит,,,
11106,"Доработка форм ""Выгрузка в клиент-банк"", ""Загрузка из клиент-банк""",ФК Зенит,,,
11105,"Доработка форм ""Реестр платежей"", ""Платежные поручения""",ФК Зенит,,,
11104,Тестирование плана закупок подразделения,ФК Зенит,,,
11103,"Доработка формы ""Платежная позиция""",ФК Зенит,,,
11102,"Доработки формы ""Заявки на оплату""",ФК Зенит,,,
11101,OPTIS-425 - Заказы на работу,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11100,"Переименовать справочники в модуле ""Казначейство"", ""Бюджетный контроль""",ФК Зенит,,,
11099,"Исправить работу проверки на сервиса ""Создать приемку"" в карточке плановой ""Заявки на обслуживание""", =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,,,
11098,OPTIS-49 и OPTIS-68,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11097,ТУРБО БИ - интеграция с меркурием,Белгородская индейка,,,
11096,CR17 SD1112909 (Часть 1 из 2) Добавление проверки ZSD_SD_067 в БЕ 1530 и 1540,NIS Сербия SAP23006_NPS_01  ,,,
11095,v.1.4.1.10. Проблемы на test (22 сервер) после изменения нумерации таблиц,SAP22030_NOKT_02 Нокиан  вторая очередь,,,
11094,В документ Акта выполненных работ добавить поле районного/гарнизонного суда,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11093,В документы оплаты добавить поле районного/гарнизонного суда,=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,,,
11092,"ТУРБО БИ - доработка функционала ""Приема из производства""",Белгородская индейка,,,
11091,СМ 	7000416776 (2000110434) Задвоение данных в ZISU_APP - Отчет по АПП - акты с ИНН и без,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
11090,"Исчез меню ""Сервис"" с функциями на форме ""Лимиты бюджета""",ФК Зенит,,,
11089,SH-334 АРМ Планирования (не пишется номер заказа через запрос CreatePulSet),РусАгро - ЗНИ,,,
11088,"Доработки формы ""План закупок""",ФК Зенит,,,
